traffic_volume,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,hour,day_of_week,month,year,is_weekend
5545,None,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-02-10 09:00:00,9,4,2,2012,0
4516,None,289.36,0.0,0.0,75,Clouds,broken clouds,2012-02-10 10:00:00,10,4,2,2012,0
4767,None,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-02-10 11:00:00,11,4,2,2012,0
5026,None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-02-10 12:00:00,12,4,2,2012,0
4918,None,291.14,0.0,0.0,75,Clouds,broken clouds,2012-02-10 13:00:00,13,4,2,2012,0
5181,None,291.72,0.0,0.0,1,Clear,sky is clear,2012-02-10 14:00:00,14,4,2,2012,0
5584,None,293.17,0.0,0.0,1,Clear,sky is clear,2012-02-10 15:00:00,15,4,2,2012,0
6015,None,293.86,0.0,0.0,1,Clear,sky is clear,2012-02-10 16:00:00,16,4,2,2012,0
5791,None,294.14,0.0,0.0,20,Clouds,few clouds,2012-02-10 17:00:00,17,4,2,2012,0
4770,None,293.1,0.0,0.0,20,Clouds,few clouds,2012-02-10 18:00:00,18,4,2,2012,0
3539,None,290.97,0.0,0.0,20,Clouds,few clouds,2012-02-10 19:00:00,19,4,2,2012,0
2784,None,289.38,0.0,0.0,1,Clear,sky is clear,2012-02-10 20:00:00,20,4,2,2012,0
2361,None,288.61,0.0,0.0,1,Clear,sky is clear,2012-02-10 21:00:00,21,4,2,2012,0
1529,None,287.16,0.0,0.0,1,Clear,sky is clear,2012-02-10 22:00:00,22,4,2,2012,0
963,None,285.45,0.0,0.0,1,Clear,sky is clear,2012-02-10 23:00:00,23,4,2,2012,0
506,None,284.63,0.0,0.0,1,Clear,sky is clear,2012-03-10 00:00:00,0,5,3,2012,1
321,None,283.47,0.0,0.0,1,Clear,sky is clear,2012-03-10 01:00:00,1,5,3,2012,1
273,None,281.18,0.0,0.0,1,Clear,sky is clear,2012-03-10 02:00:00,2,5,3,2012,1
367,None,281.09,0.0,0.0,1,Clear,sky is clear,2012-03-10 03:00:00,3,5,3,2012,1
814,None,279.53,0.0,0.0,1,Clear,sky is clear,2012-03-10 04:00:00,4,5,3,2012,1
2718,None,278.62,0.0,0.0,1,Clear,sky is clear,2012-03-10 05:00:00,5,5,3,2012,1
5673,None,278.23,0.0,0.0,1,Clear,sky is clear,2012-03-10 06:00:00,6,5,3,2012,1
6511,None,278.12,0.0,0.0,1,Clear,sky is clear,2012-03-10 08:00:00,8,5,3,2012,1
5471,None,282.48,0.0,0.0,1,Clear,sky is clear,2012-03-10 09:00:00,9,5,3,2012,1
5097,None,291.97,0.0,0.0,1,Clear,sky is clear,2012-03-10 12:00:00,12,5,3,2012,1
4887,None,293.23,0.0,0.0,1,Clear,sky is clear,2012-03-10 13:00:00,13,5,3,2012,1
5337,None,294.31,0.0,0.0,1,Clear,sky is clear,2012-03-10 14:00:00,14,5,3,2012,1
5692,None,295.17,0.0,0.0,1,Clear,sky is clear,2012-03-10 15:00:00,15,5,3,2012,1
6137,None,295.13,0.0,0.0,1,Clear,sky is clear,2012-03-10 16:00:00,16,5,3,2012,1
4623,None,293.66,0.0,0.0,20,Clouds,few clouds,2012-03-10 18:00:00,18,5,3,2012,1
3591,None,290.65,0.0,0.0,20,Clouds,few clouds,2012-03-10 19:00:00,19,5,3,2012,1
2898,None,288.19,0.0,0.0,20,Clouds,few clouds,2012-03-10 20:00:00,20,5,3,2012,1
2637,None,287.1,0.0,0.0,1,Clear,sky is clear,2012-03-10 21:00:00,21,5,3,2012,1
1777,None,286.25,0.0,0.0,1,Clear,sky is clear,2012-03-10 22:00:00,22,5,3,2012,1
1015,None,285.26,0.0,0.0,1,Clear,sky is clear,2012-03-10 23:00:00,23,5,3,2012,1
598,None,284.55,0.0,0.0,1,Clear,sky is clear,2012-04-10 00:00:00,0,1,4,2012,0
369,None,283.47,0.0,0.0,1,Clear,sky is clear,2012-04-10 01:00:00,1,1,4,2012,0
312,None,283.17,0.0,0.0,1,Clear,sky is clear,2012-04-10 02:00:00,2,1,4,2012,0
367,None,282.04,0.0,0.0,1,Clear,sky is clear,2012-04-10 03:00:00,3,1,4,2012,0
835,None,281.69,0.0,0.0,1,Clear,sky is clear,2012-04-10 04:00:00,4,1,4,2012,0
